All nodes and tasks are healthy.
All ranks passed the checks.
loading the view [1;36mtest_mpi:default[0m  with activation script [1;33m/user-environment/env/default/activate.sh[0m
[4:0] time:     0.379422  bw:      22.5511
[4:1] time:     0.321257  bw:      26.6341
[4:2] time:     0.320537  bw:      26.6939
[4:3] time:     0.320007  bw:      26.7381
[4:4] time:     0.321417  bw:      26.6208
[5:0] time:     0.390293  bw:      21.9229
[5:1] time:     0.320165  bw:      26.7249
[5:2] time:     0.320817  bw:      26.6706
[5:3] time:     0.320363  bw:      26.7084
[5:4] time:      0.32027  bw:      26.7161
[6:0] time:     0.396585  bw:      21.5752
[6:1] time:     0.321708  bw:      26.5967
[6:2] time:     0.321434  bw:      26.6194
[6:3] time:     0.322314  bw:      26.5467
[6:4] time:     0.320983  bw:      26.6568
[7:0] time:     0.389458  bw:        21.97
[7:1] time:     0.320854  bw:      26.6675
[7:2] time:     0.321167  bw:      26.6415
